,101391.json,102667.json,103942.json,104788.json,107333.json,109482.json,110975.json,117959.json,122295.json,123023.json,123309.json,125085.json,127170.json,131870.json,145097.json,153102.json,157344.json,158382.json,161063.json,161695.json,161718.json,164710.json,165723.json,168420.json,186006.json,194712.json,194717.json,200080.json,204029.json,204705.json,211789.json,216107.json,2164.json,217398.json,252096.json,253369.json,264858.json,265222.json,265454.json,265528.json,284473.json,29582.json,296871.json,35671.json,35939.json,383367.json,385323.json,4170.json,51508.json,51586.json,51968.json,54862.json,55246.json,5945.json,61640.json,61646.json,63441.json,64135.json,64847.json,66545.json,66568.json,67625.json,6874.json,69568.json,78078.json,78383.json,79591.json,84725.json,87441.json,934.json,95794.json,97680.json,98206.json,98299.json,98373.json,Arrosage.pdf,Croissance et Développement.pdf,Cycle de Vie.pdf,L'Humidité Ambiante.pdf,La Température et le Climat.pdf,Le Drainage et l'Aération du Sol.pdf,Le Rempotage et le Surfaçage des Plantes.pdf,Luminosité .pdf,Maladies Fongiques.pdf,Nutrition Végétale et les Engrais.pdf,Origine Géographique et Biomes.pdf,Parasites Courants.pdf,Plantation.pdf,Propagation et Reproduction Végétale.pdf,Stress Hydrique _ Thermique _ Lumineux.pdf,Taille et Élagage Végétal.pdf,Technologies Horticoles Modernes.pdf,Toxicité Végétale.pdf,Types de Sol.pdf,pH du Sol .pdf
7,0.4773194597090562,0.0,0.0,0.0,0.0,0.0,0.4773194597090562,0.4773194597090562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4773194597090562,0.4773194597090562,0.4773194597090562,0.4773194597090562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4773194597090562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001708483765848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4773194597090562,0.0,0.0,0.4773194597090562,0.0,0.0,0.0,1.2455354945073724,0.4773194597090562,1.001708483765848,0.4773194597090562,0.0,0.4773194597090562,0.0,0.0,0.4773194597090562,0.4773194597090562,0.0,0.0,0.0,0.0,0.808172097432785,1.8296673223344577
10,0.0,0.3202124169734907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3202124169734907,0.0,0.3202124169734907,0.3202124169734907,0.3202124169734907,0.0,0.0,0.0,0.3202124169734907,0.3202124169734907,0.3202124169734907,0.3202124169734907,0.0,0.0,0.5421667509789514,0.3202124169734907,0.0,0.0,0.0,0.3202124169734907,0.3202124169734907,0.3202124169734907,0.0,0.0,0.0,0.0,0.3202124169734907,0.3202124169734907,0.0,0.0,0.3202124169734907,0.0,0.3202124169734907,0.0,0.3202124169734907,0.0,0.0,0.0,0.0,0.3202124169734907,0.3202124169734907,0.0,0.5421667509789514,0.3202124169734907,0.3202124169734907,0.0,0.5421667509789514,0.0,0.0,0.0,0.0,0.3202124169734907,0.0,0.5421667509789514,0.3202124169734907,0.5421667509789514,0.0,0.0,0.3202124169734907,0.0,0.3202124169734907,0.764121084984412,0.3202124169734907,0.0,0.0,0.0,0.0,0.0,0.3202124169734907,1.3100025919310254,0.3202124169734907,0.764121084984412,0.9860754189898725,0.0,0.8355744208827832,0.0,0.0,0.6720017132446844,0.0,0.0,0.0,0.0,0.0,1.1652713430211987,0.3202124169734907
kharkoum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
خرقوم,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curcuma longa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.386294361119891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curcuma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.833213344056216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.043332271931566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2729172574816654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013312071109958,0.0,0.0,0.7715500957184789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
des,0.08675894915363319,0.11890754410514565,0.08089696544169206,0.08675894915363319,0.09910595001010056,0.09741052230236237,0.11082991743398281,0.09741052230236237,0.10069855953673715,0.10362045827647869,0.09154853859042124,0.10747173326410604,0.0936512614604236,0.09910595001010056,0.09910595001010056,0.09559807875866762,0.10069855953673715,0.09741052230236237,0.07738909419025913,0.08089696544169206,0.08089696544169206,0.09910595001010056,0.10747173326410604,0.08089696544169206,0.08926274869569754,0.0685499645852247,0.0936512614604236,0.08675894915363319,0.08089696544169206,0.10362045827647869,0.10863948158854847,0.0685499645852247,0.10624965190739678,0.06268798087328357,0.05513056945360426,0.08089696544169206,0.0936512614604236,0.08399112717074193,0.08089696544169206,0.09154853859042124,0.07738909419025913,0.09741052230236237,0.0685499645852247,0.10975752315882972,0.08675894915363319,0.09741052230236237,0.09741052230236237,0.09559807875866762,0.09154853859042124,0.07738909419025913,0.09910595001010056,0.0936512614604236,0.11285168488787958,0.09741052230236237,0.09741052230236237,0.08675894915363319,0.09559807875866762,0.09741052230236237,0.09559807875866762,0.07738909419025913,0.08089696544169206,0.08675894915363319,0.0936512614604236,0.12903890200239132,0.08089696544169206,0.08675894915363319,0.09559807875866762,0.09741052230236237,0.08926274869569754,0.08926274869569754,0.0936512614604236,0.09741052230236237,0.10747173326410604,0.10069855953673715,0.0936512614604236,0.11082991743398281,0.10863948158854847,0.09741052230236237,0.09910595001010056,0.10975752315882972,0.1147289127103663,0.09154853859042124,0.10362045827647869,0.11966904703901722,0.1204090963075589,0.10362045827647869,0.11648089590116749,0.11082991743398281,0.11082991743398281,0.10863948158854847,0.09910595001010056,0.11561950687077087,0.1147289127103663,0.07738909419025913,0.09559807875866762
zingiberaceae,0.0,0.0,0.0,0.0,1.30092421304055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30092421304055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7683467970045686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rose,0.0,0.33267534362151197,0.0,0.0,0.0,0.0,0.0,0.793861296567636,0.0,0.793861296567636,0.0,0.0,0.33267534362151197,0.33267534362151197,0.0,0.563268320094574,0.0,0.0,0.0,0.0,0.0,0.0,0.563268320094574,0.0,0.0,0.8680956541780153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25504724951376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33267534362151197,0.0,0.0,0.0,0.563268320094574,0.0,1.159342517207115,0.0,0.0,0.33267534362151197,0.0,0.0,0.0,0.0,0.33267534362151197,0.563268320094574,0.0,0.6981565642609912,0.0,0.0,0.0,0.563268320094574,0.33267534362151197,0.0,0.563268320094574,0.563268320094574,0.563268320094574,0.33267534362151197,0.33267534362151197,0.0,0.0,0.563268320094574,0.0,0.0,0.6981565642609912,0.0,0.33267534362151197,0.33267534362151197,0.0,0.33267534362151197,0.33267534362151197,0.793861296567636,0.33267534362151197,0.563268320094574
