,concept_1,concept_2,concept_3,concept_4,concept_5,concept_6,concept_7,concept_8,concept_9,concept_10,concept_11,concept_12,concept_13,concept_14,concept_15,concept_16,concept_17,concept_18,concept_19,concept_20,concept_21,concept_22,concept_23,concept_24,concept_25,concept_26,concept_27,concept_28,concept_29,concept_30
101391.json,0.030400252802481063,-0.06912439005333972,-0.03590892568764903,0.012757278160516765,-0.0012491008326540969,0.00967264708995017,-0.033686253670304006,0.01118033905534391,0.01209365217846885,0.006012093733320141,-0.029342047370711655,0.024540008417017048,0.0059638341050784315,0.00897791417814727,-0.02517316392289022,-0.0425181749294024,-0.047486858284302484,0.03403942167849009,0.0296571942196804,-0.010627451790523178,0.04734012667167123,0.048404634804835596,-0.003594771619547962,-0.00978452071509642,-0.019374274425030882,-0.0129308664861256,-0.00704797396435698,-0.007763311469051443,-0.016258871753483763,-0.02293920479983786
102667.json,0.08838765390263043,-0.16563875717328772,-0.08961286244050075,0.026105343924221945,-0.002573853704057612,0.03802185194066521,-0.008758948631846135,-0.009039522639134344,0.02985085617982868,-0.037917522026195194,0.0312280192173934,-0.007707896363263439,-0.05363807816512835,0.03522485269843222,-0.05977339363719739,0.6544632637900297,-0.17172127460058148,0.08520668456101868,-0.2602160463870662,0.04235335494965233,0.14276359478571435,-0.0527967695247736,0.26308429087174595,0.2827114661990259,0.17329512418925838,-0.1440402206266574,0.33780623212431665,0.04241190237310293,0.04252505149641145,0.01347119502833134
103942.json,0.02923667319993765,-0.06900960550326504,-0.04007808955898337,0.01414325441934695,0.007307470499192671,0.00883505020843526,-0.026790523906656205,0.006684222985142932,0.013480667794598908,0.00813560121063653,-0.05008394857356507,0.0362767991061954,-0.0020193241520890235,-0.012428347540755455,-0.0023353863476505764,-0.04885894970053492,-0.007968883714223766,0.0009821584537733435,0.01086280235463764,0.0022543140446588204,-0.016530569912337353,0.02487434963028325,-0.02594237748498827,0.0023484471401567023,0.0057631169329837315,-0.010535886509048263,0.013003419061515796,0.008761272505349471,0.005248667057652946,-0.039868852475092774
104788.json,0.03568258597703348,-0.07682663936228816,-0.04830016660541339,0.008021749695953428,0.00892854869094749,0.014094173770910863,-0.014052967094792649,0.005762889752673044,0.009619767390992694,-0.012660361863056531,-0.006507262978719409,-0.0026300753700081517,0.005498179638752464,0.006522096339579172,0.004246069881495471,0.06703436987594967,0.07348159586579317,-0.035499585717287355,-0.05150604743668895,0.037006018240899115,0.010523022796575198,-0.02917381058697,-0.07716769805534891,-0.02159151273809572,-0.01655241999747053,0.00025908377296944633,-0.016320405070567322,-0.016612365668872617,-0.036343704655398164,0.01609084845625047
107333.json,0.03514852342858815,-0.08285794835395194,-0.050526784511095754,0.012239139769909946,0.013641890486941559,0.012536792363697605,-0.027716614842569504,-0.0001444268597818022,0.01386093470070037,0.023063079758769454,-0.061743424903517335,0.052274981228903325,-0.014929538081656259,-0.012373808492066127,-0.022231750280331072,-0.07596833008965814,-0.047957503443167855,-0.02017015647093313,0.05459843199920208,-0.11877014007193004,0.03220768773424305,0.007450581720476889,0.07018588177062145,0.0016667198573833285,0.03677803205467395,-0.04158868879513545,-0.08634420939725337,-0.0467433101780423,-0.12947331647834193,-0.04111115442721656
109482.json,0.060261976202692406,-0.11086024988404097,-0.058759703051681766,0.006241365209269974,-0.01854299097944376,-0.02879650842434658,0.013025951774187024,0.06420990574157846,-0.019598417292278094,-0.013974482874629305,-0.013727739180535827,0.023169651637766603,-0.03280221911599509,-0.030974860575905407,-0.05242604579082884,-0.04386674371923218,-0.03831612197447163,0.12443471986697316,-0.12334804314520582,0.14742479182204096,0.03677334815146123,0.03142037736791589,-0.08620024455690041,0.09373982878149813,0.0899138483286375,0.16472779010373165,-0.1260766908974873,0.41474272207961277,-0.29901775156208055,0.030426648185415798
110975.json,0.05882731135082402,-0.10550189512598938,-0.04723346481470838,-0.014719452327802229,-0.0016152270452075034,0.027166731448159415,-0.03005551482371934,-0.02532875950907976,0.0336836595713127,-0.03635915237321302,-0.001653589622171609,-0.04421242446104414,0.017398308531782803,0.006161230332907725,-0.04480576914488246,0.1125197986532511,0.0033729166130277034,0.03132272929363871,-0.006838592426853433,-0.05340725877548213,-0.0028732317719396398,0.13488639011780218,-0.019252897880360848,-0.073489321472638,-0.11258128568366016,-0.1263125142436733,-0.3201672556351605,0.12766359620368026,0.6432174162345735,0.10731021504218635
117959.json,0.03320760654835304,-0.0773844166792034,-0.03944738235874995,0.0097226974630603,0.002124467900796834,0.00661240187602988,-0.03019909247913035,0.017156509729395097,0.0019281847757540787,0.011232088703178815,-0.0381047029438565,0.011327862748258158,-0.004304633090808608,0.013598156574327632,-0.008694571105451871,-0.03361159494094579,0.006235865950574446,0.04288798236237389,0.001969530831294445,0.07571343215740937,-0.03473638585350521,0.006771553165853572,0.0010646041745479974,-0.006226494786838369,0.00546278565693507,0.033207134507170305,-0.008756531709904525,0.11976150192040178,0.012589078405150118,-0.0861492551186225
122295.json,0.030802238849391032,-0.07595879505597798,-0.03872499143740841,0.01013323999170283,0.002168640886410745,0.018537030122797733,-0.007035279187841761,0.012011325705133528,-0.02891167157576684,0.05545503143549326,-0.01005685650636143,0.0057062310032113305,-0.009226522507539331,-0.0002770274170331536,-0.011842466510905852,-0.05589443205490476,0.013064399772653543,0.0055260323552234055,-0.03739301996628466,0.007886630134101751,0.004686560094793212,-0.004343783031385262,0.020696770648784186,0.005519146437129886,-0.0036583953366290524,0.09791867130927086,-0.024464940088510606,-0.017435227504450944,0.05146795785911925,0.05763778220717088
123023.json,0.038662826622065286,-0.09562703558221775,-0.049389913682694166,0.012440200342450173,0.011676165859845265,0.020921435284093848,-0.030227411902416963,0.011074113645346988,0.008103206219361336,0.014007409029063207,-0.05851474886029208,0.048730639239570335,-0.010222559291212175,0.001386818032307452,0.012263605536172742,-0.058040633905900085,0.01872903625500015,-0.0035735868105858043,0.008333861778299102,-0.032044800998669784,-0.031058681188562857,-0.008380760782944153,-0.017236960557513652,0.002514463550097696,-0.009003124018692615,0.011181025915250766,0.026098750518162406,-0.010479245139391547,-0.015304388499246618,-0.08296993144817554
